文件修改频率统计表：
| 修改次数       | 文件路径                                                         |
|------------|--------------------------------------------------------------|
| 55         | src/taint_tracking.h                                         |
| 55         | src/taint_tracking/taint_tracking.cc                         |
| 45         | src/taint_tracking/ast_serialization.cc                      |
| 44         | src/taint_tracking/protos/logrecord.capnp                    |
| 43         | test/cctest/test-taint-tracking.cc                           |
| 33         | src/taint_tracking/ast_serialization.h                       |
| 25         | src/taint_tracking/symbolic_state.cc                         |
| 24         | src/taint_tracking/symbolic_state.h                          |
| 24         | src/full-codegen/full-codegen.cc                             |
| 22         | src/taint_tracking/protos/ast.capnp                          |
| 20         | include/v8.h                                                 |
| 20         | src/taint_tracking.cc                                        |
| 20         | TAINT_TRACKING_README                                        |
| 20         | src/taint_tracking-inl.h                                     |
| 19         | src/full-codegen/x64/full-codegen-x64.cc                     |
| 18         | src/objects.cc                                               |
| 18         | src/runtime/runtime.h                                        |
| 17         | src/flag-definitions.h                                       |
| 17         | src/runtime/runtime-internal.cc                              |
| 15         | BUILD.gn                                                     |
| 15         | src/full-codegen/full-codegen.h                              |
| 13         | src/factory.cc                                               |
| 13         | src/api.cc                                                   |
| 12         | src/isolate.cc                                               |
| 11         | src/objects.h                                                |
| 10         | src/builtins/builtins-string.cc                              |
| 8          | src/bootstrapper.cc                                          |
| 8          | src/builtins/builtins-global.cc                              |
| 8          | src/taint_log_record.h                                       |
| 8          | src/crankshaft/hydrogen.cc                                   |
| 8          | src/runtime/runtime-strings.cc                               |
| 7          | src/taint_log_record.cc                                      |
| 7          | src/uri.cc                                                   |
| 6          | src/objects-inl.h                                            |
| 6          | src/builtins/builtins.h                                      |
| 6          | src/json-parser.cc                                           |
| 6          | src/x64/macro-assembler-x64.cc                               |
| 6          | src/globals.h                                                |
| 5          | src/compiler.cc                                              |
| 5          | src/code-stub-assembler.cc                                   |
| 5          | src/string-builder.cc                                        |
| 5          | src/runtime/runtime-regexp.cc                                |
| 5          | test/cctest/BUILD.gn                                         |
| 5          | src/interpreter/bytecode-generator.cc                        |
| 5          | src/ast/scopeinfo.cc                                         |
| 4          | src/heap/heap.cc                                             |
| 4          | src/v8.cc                                                    |
| 4          | src/string-builder.h                                         |
| 4          | src/json-stringifier.cc                                      |
| 4          | src/builtins/x64/builtins-x64.cc                             |
| 3          | src/x64/code-stubs-x64.cc                                    |
| 3          | .../externalize-string-extension.cc                          |
| 3          | src/parsing/parser.cc                                        |
| 3          | src/parsing/parser.h                                         |
